Matricule;Courriel;Mot de passe;Prenom;Nom;Adresse;Programme d'êtudes
1856256;1856256@CollegeConnaissanceAleatoire.qc.ca;Pp1856256!;Pauline;Pelletier;58 rue du Fràne #23A, Farnham;Techniques de gÇnie MÇcanique
1965874;1965874@CollegeConnaissanceAleatoire.qc.ca;Cg1965874!;Camille;Gendron;22, avenue particuliäre, Sherbrooke;Sciences de la Nature
2110189;2110189@CollegeConnaissanceAleatoire.qc.ca;Mg2110189!;Marcel;Gosselin;965 avenue des Petits pas, Bedford;Sciences de la nature
2056987;2056987@CollegeConnaissanceAleatoire.qc.ca;Sf2056987!;StÇphane ;Fallu;235, Rue des Octaves, Stanstead;Techniques de gÇnie MÇcanique
2122365;2122365@CollegeConnaissanceAleatoire.qc.ca;Dl2122365!;Denis;Labrecque;62 rue du Conseil, Stanstead;Sciences de la Nature
2123659;2123659@CollegeConnaissanceAleatoire.qc.ca;Sd2123659!;Sylvie;Demers;215 avenue du Tilleul, #34, Stanstead;Techniques de gÇnie MÇcanique
2158743;2158743@CollegeConnaissanceAleatoire.qc.ca;Bp2158743!;Bernard;Plante;251, rue de la Victoire, Coaticook;Sciences de la Nature
2158746;2158746@CollegeConnaissanceAleatoire.qc.ca;Rb2158746!;Roseline;Bourque;55, rue du presbytäre #3A, Sherbrooke;Techniques d'Çducation spÇcialisÇe
2256478;2256478@CollegeConnaissanceAleatoire.qc.ca;Mg2256478!;Marie;Germain;45, rue des Saules, Sherbrooke;Techniques d'Çducation spÇcialisÇe
2295632;2295632@CollegeConnaissanceAleatoire.qc.ca;Mc2295632!;Martin;CìtÇ-Lamarche;55 rue des Pasteurs, Coaticook;Techniques de Tourisme
